Elements;Time;;EXECUTION TIME FOR LINEAR METHOD
100;1;;
200;8;;
300;17;;
400;23;;
500;30;;
600;22;;
700;21;;
800;18;;
900;34;;
1000;25;;
1100;43;;
1200;36;;
1300;33;;
1400;40;;
1500;39;;
1600;43;;
1700;60;;
1800;42;;
1900;69;;
2000;51;;
2100;68;;
2200;67;;
2300;61;;
2400;66;;
2500;76;;
2600;107;;
2700;70;;
2800;75;;
2900;79;;
3000;75;;
3100;81;;
3200;89;;
3300;80;;
3400;96;;
3500;99;;
3600;84;;
3700;96;;
3800;125;;
3900;130;;
4000;170;;
4100;160;;
4200;152;;
4300;118;;
4400;98;;
4500;147;;
4600;110;;
4700;140;;
4800;109;;
4900;212;;
5000;119;;
